language,Commercial,Fearmonger,HashtagGamer,LeftTroll,NewsFeed,NonEnglish,RightTroll,Unknown,Total
Malayalam,3.406209178711874e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.406209178711874e-05
Norwegian,0.02002850997082582,0.00023843464250983116,0.01808697073896005,0.007357411826017648,0.004700568666622386,0.015566375946713264,0.010048317077200029,0.0003746830096583061,0.07640127187850733
Polish,0.005313686318790523,3.406209178711874e-05,0.00296340198547933,0.0018734150482915307,0.0004087451014454249,0.0010559248454006809,0.0013965457632718684,0.0,0.013045781154466477
Portuguese,0.001021862753613562,0.0,0.0006812418357423748,0.00405338892266713,0.0004428071932325436,0.005075251676280692,0.004257761473389843,3.406209178711874e-05,0.015566375946713264
Pushto,0.0026909052511823804,0.0003746830096583061,0.003304022903350518,0.001192173212549156,0.001566856222207462,0.0017712287729301744,0.005279624227003405,0.0003746830096583061,0.01655417660853971
Romanian,0.016894797526410894,0.0003406209178711874,0.014612637376673938,0.006471797439552561,0.004291823565176961,0.003269960811563399,0.008753957589289516,0.0003406209178711874,0.054976216144409645
Russian,0.0003065588260840686,0.00020437255072271244,0.0007153039275294936,0.0004768692850196623,0.000510931376806781,20.60599867498463,0.0022821601497369556,0.0004428071932325436,20.610937678293762
Serbian,0.00010218627536135622,0.0,6.812418357423748e-05,0.0,0.0,0.3179015026491792,6.812418357423748e-05,0.0,0.31813993729168905
Simplified Chinese,0.0004428071932325436,0.0,0.0,0.0,0.0,0.00020437255072271244,6.812418357423748e-05,0.0,0.0007153039275294936
Slovak,0.004768692850196624,0.00013624836714847495,0.0017371666811430556,0.000647179743955256,0.00013624836714847495,0.000647179743955256,0.0007153039275294936,6.812418357423748e-05,0.008856143864650872
Slovenian,0.00010218627536135622,3.406209178711874e-05,0.00013624836714847495,0.00020437255072271244,0.00010218627536135622,0.0005449934685938998,0.000919676478252206,6.812418357423748e-05,0.002111849690801362
Somali,0.003133712444414924,0.0,0.002588718975821024,0.0014306078550589871,0.000783428111103731,0.0001703104589355937,0.0011581111207620372,0.0001703104589355937,0.00943519942503189
Spanish,0.016009183139945808,0.0002724967342969499,0.011819545850130203,0.019619764869380392,0.009298951057883415,0.01948351650223192,0.027726542714714652,0.0015327941304203432,0.10576279499900368
Swedish,0.006233362797042729,3.406209178711874e-05,0.002724967342969499,0.0016009183139945808,0.0005449934685938998,0.019790075328315986,0.0036105817294345864,6.812418357423748e-05,0.034607085255712634
Tagalog (Filipino),0.0014987320386332245,0.00020437255072271244,0.0037127680047959427,0.001566856222207462,0.00010218627536135622,6.812418357423748e-05,0.0008515522946779684,0.00013624836714847495,0.00814083993712138
Tamil,0.0003065588260840686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003065588260840686
Telugu,6.812418357423748e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.812418357423748e-05
Thai,0.0008174902028908498,3.406209178711874e-05,0.00013624836714847495,0.00010218627536135622,0.0,6.812418357423748e-05,0.00013624836714847495,0.0,0.0012943594879105123
Traditional Chinese,0.0003065588260840686,0.0,6.812418357423748e-05,0.0,0.0,0.0,0.0,0.0,0.0003746830096583061
Turkish,0.0027930915265437367,0.0,0.0014646699468461057,0.0016349804057816995,0.00010218627536135622,0.00701679090814646,0.0017031045893559369,0.0003746830096583061,0.015089506661693602
Ukrainian,0.0001703104589355937,0.0,3.406209178711874e-05,3.406209178711874e-05,0.0,1.2942913637269378,0.000647179743955256,3.406209178711874e-05,1.29521104020519
Urdu,0.000510931376806781,0.0,0.0004087451014454249,0.00013624836714847495,3.406209178711874e-05,0.0,0.0008515522946779684,3.406209178711874e-05,0.001975601323652887
Uzbek,0.005313686318790523,0.0,0.004087451014454248,0.0025205947922467865,0.0018052908647172932,0.29582926717112623,0.0031677745362020428,0.00020437255072271244,0.31292843724825986
Vietnamese,0.0037127680047959427,0.0003065588260840686,0.004394009840538318,0.01757603936215327,0.0017371666811430556,0.0010899869371877996,0.00405338892266713,0.00023843464250983116,0.03310835321707942
